EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG10070	argR	Rarg, xerA	l-arginine-responsive arginine metabolism regulon transcriptional regulator	Regulator; Amino acid biosynthesis: Arginine	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric	P0A6D0	b3237
EG10071	argS	lov	arginyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Arginine--tRNA ligase	P11875	b1876
EG10072	argT	None	lysine/arginine/ornithine transporter subunit	Transport; Transport of small molecules: Amino acids, amines	Lys-, Arg-, and Orn-binding protein, periplasmic	P09551	b2310
EG10073	aroA	None	5-enolpyruvylshikimate-3-phosphate synthetase	Enzyme; Amino acid biosynthesis: Chorismate	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase	P0A6D3	b0908
EG10074	aroB	None	3-dehydroquinate synthase	Enzyme; Amino acid biosynthesis: Chorismate	3-Dehydroquinate synthase	P07639	b3389
EG10075	aroC	None	chorismate synthase	Enzyme; Amino acid biosynthesis: Chorismate	Chorismate synthase	P12008	b2329
EG10076	aroD	None	3-dehydroquinate dehydratase	Enzyme; Amino acid biosynthesis: Chorismate	3-Dehydroquinate dehydratase	P05194	b1693
EG10077	aroE	None	dehydroshikimate reductase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate 5-dehydrogenase	P15770	b3281
EG10078	aroF	None	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible	Enzyme; Amino acid biosynthesis: Tyrosine	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon	P00888	b2601
EG10079	aroG	None	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible	Enzyme; Amino acid biosynthesis: Phenylalanine	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon	P0AB91	b0754
EG10080	aroH	None	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible	Enzyme; Amino acid biosynthesis: Tryptophan	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible	P00887	b1704
EG10081	aroK	None	shikimate kinase I	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate kinase I; alkali-inducible	P0A6D7	b3390
EG10082	aroL	None	shikimate kinase II	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate kinase II	P0A6E1	b0388
EG10083	aroM	None	AroM family protein	Null	Function unknown	P0AE28	b0390
EG10084	aroP	None	aromatic amino acid transporter	Transport; Transport of small molecules: Amino acids, amines	General aromatic amino acid transport permease	P15993	b0112
EG10085	ascB	sac	cryptic 6-phospho-beta-glucosidase	Enzyme; Degradation of small molecules: Carbon compounds	Phospho-beta-glucosidase; inducer unknown; expressed when repressor AscG is mutated	P24240	b2716
EG10086	ascF	sac	cellobiose/arbutin/salicin-specific PTS enzymes, IIB and IC components	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated	P24241	b2715
EG10087	ascG	sac	asc operon transcriptional repressor; prpBC operon repressor	Regulator; Degradation of small molecules: Carbon compounds	Repressor of asc operon; inducer unknown; prpBC operon repressor	P24242	b2714
EG10088	asd	dap, hom	aspartate-semialdehyde dehydrogenase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Lysine	Aspartate semialdehyde dehydrogenase	P0A9Q9	b3433
EG10089	aslA	atsA, gppB	putative Ser-type periplasmic non-aryl sulfatase	Enzyme; Central intermediary metabolism: Sulfur metabolism	Predicted periplasmic non-aryl sulfatase, Ser-type; possible periplasmic mucin-desulfating sulfatase	P25549	b3801
EG10090	aslB	atsB, gppB	putative AslA-specific sulfatase-maturating enzyme	Regulator; Not classified	Predicted AslA-specific anaerobic sulfatase-maturating enzyme; Radical SAM enzyme	P25550	b3800
EG10091	asnA	None	asparagine synthetase A	Enzyme; Amino acid biosynthesis: Asparagine	Asparagine synthase A; aspartate-ammonia ligase	P00963	b3744
EG10092	asnB	None	asparagine synthetase B	Enzyme; Amino acid biosynthesis: Asparagine	Asparagine synthase B [glutamine-hydrolyzing]	P22106	b0674
EG10093	asnC	None	transcriptional activator of asnA; autorepressor	Regulator; Amino acid biosynthesis: Asparagine	Regulatory gene for asnA, asnC, gidA, Lrp family	P0ACI6	b3743
EG10094	asnS	lcs, tss	asparaginyl tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Asparagine--tRNA ligase	P0A8M0	b0930
EG10095	aspA	None	aspartate ammonia-lyase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	L-aspartate ammonia-lyase; L-aspartase	P0AC38	b4139
EG10096	aspC	None	aspartate aminotransferase, PLP-dependent	Enzyme; Amino acid biosynthesis: Aspartate	Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K	P00509	b0928
EG10097	aspS	tls	aspartyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Aspartate--tRNA ligase	P21889	b1866
EG10098	atpA	papA, uncA	F1 sector of membrane-bound ATP synthase, alpha subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit alpha, membrane-bound, F1 sector	P0ABB0	b3734
EG10099	atpB	papD, uncB	F0 sector of membrane-bound ATP synthase, subunit a	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit a, membrane-bound, F0 sector	P0AB98	b3738
EG10100	atpC	papG, uncC	F1 sector of membrane-bound ATP synthase, epsilon subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit epsilon, membrane-bound, F1 sector	P0A6E6	b3731
EG10101	atpD	papB, uncD	F1 sector of membrane-bound ATP synthase, beta subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit beta, membrane-bound, F1 sector	P0ABB4	b3732
EG10102	atpE	papH, uncE	F0 sector of membrane-bound ATP synthase, subunit c	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding	P68699	b3737
EG10103	atpF	papF, uncF	F0 sector of membrane-bound ATP synthase, subunit b	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit b, membrane-bound, F0 sector	P0ABA0	b3736
EG10104	atpG	papC, uncG	F1 sector of membrane-bound ATP synthase, gamma subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit gamma, membrane-bound, F1 sector	P0ABA6	b3733
EG10105	atpH	papE, uncH	F1 sector of membrane-bound ATP synthase, delta subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit delta, membrane-bound, F1 sector	P0ABA4	b3735
EG10106	atpI	uncI	ATP synthase, membrane-bound accessory factor	Enzyme; ATP-proton motive force interconversion	ATP synthase, membrane-bound accessory factor	P0ABC0	b3739
EG10107	avtA	None	valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase	Enzyme; Amino acid biosynthesis: Alanine	Valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase	P09053	b3572
EG10108	bcp	None	peroxiredoxin; thiol peroxidase, thioredoxin-dependent	Phenotype; Not classified	Peroxiredoxin, thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity; Prx	P0AE52	b2480
EG10109	betA	None	choline dehydrogenase, a flavoprotein	Enzyme; Osmotic adaptation	Choline dehydrogenase, oxygen-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline	P17444	b0311
EG10110	betB	None	betaine aldehyde dehydrogenase, NAD-dependent	Enzyme; Osmotic adaptation	Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric	P17445	b0312
EG10111	betI	None	choline-inducible betIBA-betT divergent operon transcriptional repressor	Putative regulator; Osmotic adaptation	Transcriptional repressor for the betIBA-betT divergent operon, choline-inducible	P17446	b0313
EG10112	betT	None	choline transporter of high affinity	Transport; Transport of small molecules: Other	High-affinity choline transporter; BCCT family; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline	P0ABC9	b0314
EG10113	bfr	None	bacterioferritin, iron storage and detoxification protein	Carrier; Transport of small molecules: Cations	Bacterioferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer	P0ABD3	b3336
EG10114	bglB	None	cryptic phospho-beta-glucosidase B	Enzyme; Degradation of small molecules: Carbon compounds	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated	P11988	b3721
EG10115	bglF	bglC, bglS	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG	P08722	b3722
EG10116	bglG	bglC, bglR, bglS	transcriptional antiterminator of the bgl operon	Regulator; Degradation of small molecules: Carbon compounds	Transcription antiterminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds kinase/dephosphorylase BglF	P11989	b3723
EG10117	bioA	None	7,8-diaminopelargonic acid synthase, PLP-dependent	Enzyme; Biosynthesis of cofactors, carriers: Biotin	7,8-diaminopelargonic acid aminotransferase	P12995	b0774
EG10118	bioB	None	biotin synthase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Biotin synthase; dethiobiotin to biotin pathway; iron-sulfur enzyme	P12996	b0775
EG10119	bioC	None	malonyl-ACP O-methyltransferase, SAM-dependent	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Malonyl-ACP O-methyltransferase, SAM-dependent; biotin synthesis blocked prior to pimeloyl CoA formation	P12999	b0777
EG10120	bioD	None	dethiobiotin synthetase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Dethiobiotin synthase	P13000	b0778
EG10121	bioF	None	8-amino-7-oxononanoate synthase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	7-keto-8-amino pelargonic acid synthase	P12998	b0776
EG10122	bioH	bioB	pimeloyl-ACP methyl ester carboxylesterase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Pimeloyl-ACP methyl ester carboxylesterase; short acyl chain carboxylesterase, binds CoA; biotin synthesis blocked prior to pimeloyl CoA formation	P13001	b3412
EG10123	birA	bioR, dhbB	bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Bifunctional biotin protein ligase, biotin operon repressor; biotin-[acetyl-CoA carboxylase] holoenzyme synthase; monomeric	P06709	b3973
EG10124	bisC	None	biotin sulfoxide reductase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic	P20099	b3551
EG10125	bolA	None	stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC	Putative regulator; Murein sacculus, peptidoglycan	Stationary-phase morphogene, transcriptional repressor; predicted reductase; regulates mreB, dacA, dacC, and ampC transcription; shape determinant; FtsZ dependent; induced by AI-2 pheromone	P0ABE2	b0435
EG10126	btuB	bfe, cer, dcrC	vitamin B12/cobalamin outer membrane transporter	Membrane; Outer membrane constituents	Vitamin B12 outer membrane receptor; receptor for E colicins, phages BF23 and C1	P06129	b3966
EG10127	btuC	None	vitamin B12 ABC transporter permease	Transport; Transport of small molecules: Other	Vitamin B12 ABC transporter permease	P06609	b1711
EG10128	btuD	None	vitamin B12 ABC transporter ATPase	Transport; Transport of small molecules: Other	Vitamin B12 ABC transporter ATPase	P06611	b1709
EG10129	btuE	None	glutathione peroxidase	Transport; Transport of small molecules: Other	Glutathione peroxidase; non-specific peroxidase activity	P06610	b1710
EG10130	btuR	cobA(S.t.)	cob(I)yrinic acid a,c-diamide adenosyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Cobalamin	Cobinamide adenosyltransferase	P0A9H5	b1270
EG10131	cadA	ldcI	lysine decarboxylase, acid-inducible	Enzyme; Degradation of small molecules: Amino acids	Lysine decarboxylase, inducible; decameric	P0A9H3	b4131
EG10132	cadB	None	putative lysine/cadaverine transporter	Transport; Transport of small molecules: Amino acids, amines	Lysine-cadaverine antiporter	P0AAE8	b4132
EG10133	cadC	None	cadBA operon transcriptional activator	Regulator; Degradation of small molecules: Amino acids	Transcriptional activator for cadBA, low external pH-, low oxygen-, excess lysine-responsive; homodimeric	P23890	b4133
EG10134	carA	arg, cap, pyrA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	Enzyme; Pyrimidine ribonucleotide biosynthesis	Carbamoyl phosphate synthase, small subunit; glutamine-hydrolyzing, tetramer of heterodimers	P0A6F1	b0032
EG10135	carB	cap, pyrA	carbamoyl-phosphate synthase large subunit	Enzyme; Pyrimidine ribonucleotide biosynthesis	Carbamoyl phosphate synthase, ammonia, large subunit; tetramer of heterodimers	P00968	b0033
EG10136	cca	None	fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	tRNA nucleotidyltransferase, repairs terminal CCA of tRNAs	P06961	b3056
EG10137	cdd	None	cytidine/deoxycytidine deaminase	Enzyme; Salvage of nucleosides and nucleotides	Cytidine deaminase; 2-deoxycytidine deaminase; mutants are 5-fluorodeoxycytidine resistant; binds Zn(II)	P0ABF6	b2143
EG10138	cdh	pnuE(S.t.), ushB(S.t.)	CDP-diacylglycerol phosphotidylhydrolase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	CDP-diglyceride hydrolase; Salmonella ortholog has both UDP sugar hydrolase (UshB) and NAD pyrophosphatase (PnuE) activities	P06282	b3918
